"dataset","model","estimator","features","toxField","time","dataset_compounds","tested_compounds","n_predicted","hitrate"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","NR-AR","8.426","4614","4614","260","0.05635023840485479"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0","rdkit_desc|cdk_fp|cdk_desc|rdkit_fp|rdkit_fp","NR-AR","11.183","4614","4608","280","0.06076388888888889"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","NR-AhR","8.348","4614","4614","256","0.055483311660164715"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","rdkit_desc|rdkit_fp|rdkit_fp|rdkit_fp|rdkit_desc","NR-AhR","14.412","4614","4608","359","0.0779079861111111"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","NR-AR-LBD","6.695","4614","4608","201","0.043619791666666664"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0","cdk_desc|cdk_fp|rdkit_desc|cdk_fp|cdk_fp","NR-AR-LBD","8.732","4614","4608","188","0.04079861111111111"
"CMC","tunedBest","weka_rfc_e45331a1a7de","rdkit_fp","NR-ER","9.964","4614","4614","382","0.08279150411790204"
"CMC","tunedConsensus","weka_rfc_e45331a1a7de|weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","rdkit_fp|cdk_desc|cdk_fp|rdkit_fp|cdk_desc","NR-ER","15.48","4614","4608","449","0.0974392361111111"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","NR-ER-LBD","8.003","4614","4608","137","0.029730902777777776"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_7a6b39991279|smile_svc_68183d19af31|smile_svc_16a4834eb4e0","cdk_desc|cdk_fp|rdkit_fp|rdkit_desc|rdkit_fp","NR-ER-LBD","13.061","4614","4608","162","0.03515625"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","NR-Aromatase","6.286","4614","4614","92","0.019939315127871695"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","rdkit_desc|rdkit_fp|cdk_fp|rdkit_fp|rdkit_desc","NR-Aromatase","10.614","4614","4608","157","0.03407118055555555"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","NR-PPAR-gamma","7.079","4614","4608","81","0.017578125"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0|weka_rfc_e45331a1a7de|smile_svc_68183d19af31","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|cdk_desc","NR-PPAR-gamma","10.622","4614","4608","103","0.022352430555555556"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","SR-ARE","7.485","4614","4608","891","0.193359375"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|weka_rfc_e45331a1a7de|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|rdkit_desc","SR-ARE","13.519","4614","4608","723","0.15690104166666666"
"CMC","tunedBest","smile_svc_7a6b39991279","cdk_fp","SR-ATAD5","10.96","4614","4614","152","0.0329432162982228"
"CMC","tunedConsensus","smile_svc_7a6b39991279|weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_16a4834eb4e0","cdk_fp|rdkit_desc|cdk_fp|rdkit_desc|rdkit_fp","SR-ATAD5","12.076","4614","4608","76","0.016493055555555556"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","SR-HSE","7.715","4614","4608","38","0.008246527777777778"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0","cdk_desc|cdk_fp|rdkit_desc|cdk_fp|cdk_fp","SR-HSE","12.804","4614","4608","64","0.013888888888888888"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","SR-MMP","7.733","4614","4614","504","0.10923276983094929"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_16a4834eb4e0","rdkit_desc|rdkit_fp|rdkit_fp|cdk_desc|cdk_desc","SR-MMP","9.747","4614","4608","820","0.1779513888888889"
"CMC","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","SR-p53","8.359","4614","4614","176","0.03814477676636324"
"CMC","tunedConsensus","weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|weka_rfc_e45331a1a7de|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","rdkit_desc|rdkit_fp|cdk_fp|rdkit_fp|rdkit_desc","SR-p53","13.763","4614","4608","298","0.0646701388888889"
"NCI","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","NR-AR","16.336","261513","261513","3276","0.012527101903155867"
"NCI","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0","rdkit_desc|cdk_fp|cdk_desc|rdkit_fp|rdkit_fp","NR-AR","461.083","261513","242084","3568","0.01473868574544373"
"NCI","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","NR-AhR","18.885","261513","261513","31919","0.12205511771881321"
"NCI","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","rdkit_desc|rdkit_fp|rdkit_fp|rdkit_fp|rdkit_desc","NR-AhR","518.671","261513","242084","38075","0.15728011764511493"
"NCI","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","NR-AR-LBD","17.222","261513","242084","1926","0.007955916128286049"
"NCI","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0","cdk_desc|cdk_fp|rdkit_desc|cdk_fp|cdk_fp","NR-AR-LBD","380.554","261513","242084","2109","0.008711852084400456"
"NCI","tunedBest","weka_rfc_e45331a1a7de","rdkit_fp","NR-ER","111.336","261513","261513","23277","0.08900895940163586"
"NCI","tunedConsensus","weka_rfc_e45331a1a7de|weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","rdkit_fp|cdk_desc|cdk_fp|rdkit_fp|cdk_desc","NR-ER","540.441","261513","242084","28492","0.11769468448968126"
"NCI","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","NR-ER-LBD","19.231","261513","242084","2519","0.010405479089902678"
"NCI","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_7a6b39991279|smile_svc_68183d19af31|smile_svc_16a4834eb4e0","cdk_desc|cdk_fp|rdkit_fp|rdkit_desc|rdkit_fp","NR-ER-LBD","463.968","261513","242084","3244","0.013400307331339536"
"NCI","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","NR-Aromatase","14.903","261513","261513","3677","0.01406048647677171"
"NCI","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","rdkit_desc|rdkit_fp|cdk_fp|rdkit_fp|rdkit_desc","NR-Aromatase","419.692","261513","242084","2674","0.011045752713934006"
"NCI","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","NR-PPAR-gamma","15.405","261513","242084","1169","0.004828902364468531"
"NCI","tunedConsensus","weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0|weka_rfc_e45331a1a7de|smile_svc_68183d19af31","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|cdk_desc","NR-PPAR-gamma","394.928","261513","242084","1943","0.008026139687050775"
"NCI","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","SR-ARE","17.854","261513","242084","69927","0.2888542819847656"
"NCI","tunedConsensus","weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|weka_rfc_e45331a1a7de|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","cdk_desc|rdkit_fp|cdk_fp|cdk_fp|rdkit_desc","SR-ARE","610.446","261513","242084","58982","0.24364270253300507"
"NCI","tunedBest","smile_svc_7a6b39991279","cdk_fp","SR-ATAD5","155.021","261513","261510","16514","0.0631486367634125"
"NCI","tunedConsensus","smile_svc_7a6b39991279|weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_16a4834eb4e0","cdk_fp|rdkit_desc|cdk_fp|rdkit_desc|rdkit_fp","SR-ATAD5","400.613","261513","242084","2562","0.010583103385601691"
"NCI","tunedBest","weka_rfc_8bf30290c5c9","cdk_desc","SR-HSE","15.89","261513","242084","2493","0.010298078352968391"
"NCI","tunedConsensus","weka_rfc_8bf30290c5c9|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_7a6b39991279|smile_svc_16a4834eb4e0","cdk_desc|cdk_fp|rdkit_desc|cdk_fp|cdk_fp","SR-HSE","471.7","261513","242084","3596","0.01485434807752681"
"NCI","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","SR-MMP","16.503","261513","261513","57244","0.2188954277607614"
"NCI","tunedConsensus","weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|weka_rfc_e45331a1a7de|smile_svc_68183d19af31|smile_svc_16a4834eb4e0","rdkit_desc|rdkit_fp|rdkit_fp|cdk_desc|cdk_desc","SR-MMP","300.107","261513","242084","86400","0.3569009104277854"
"NCI","tunedBest","weka_rfc_8bf30290c5c9","rdkit_desc","SR-p53","17.682","261513","261513","7938","0.03035413153456998"
"NCI","tunedConsensus","weka_rfc_8bf30290c5c9|smile_svc_7a6b39991279|weka_rfc_e45331a1a7de|smile_svc_16a4834eb4e0|smile_svc_68183d19af31","rdkit_desc|rdkit_fp|cdk_fp|rdkit_fp|rdkit_desc","SR-p53","505.21","261513","242084","16992","0.07019051238413113"
