"NAME [String]","METHOD [String]","regularizationType [String]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0E-4","0.6182577904236682","0.655614973262032","0.5531813865147198","0.6459770114942528"
"data_lipinski","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0E-4","0.6530408334893347","0.6620320855614973","0.5930674264007596","0.7040229885057471"
"data_lipinski","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0E-4","0.6009000682203296","0.6385026737967915","0.5308641975308641","0.6333333333333333"
"data_lipinski","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0E-4","0.687169791451964","0.6823529411764706","0.6400759734093066","0.739080459770115"
"data_lipinski","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.001","0.6292629023077524","0.6625668449197861","0.5631528964862299","0.6620689655172414"
"data_lipinski","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.001","0.6733725552071282","0.6684491978609627","0.6286799620132953","0.7229885057471265"
"data_lipinski","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.001","0.6440958243752924","0.674331550802139","0.5660018993352326","0.6919540229885056"
"data_lipinski","SVC_LIN_DESC","L1","Standard","cdk_desc","0.001","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_DESC","L2","Standard","cdk_desc","0.001","0.7109468441224132","0.6866310160427808","0.7174738841405507","0.7287356321839081"
"data_lipinski","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.01","0.6016801131405592","0.6315508021390374","0.5085470085470085","0.6649425287356322"
"data_lipinski","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.01","0.6637309217881676","0.66524064171123","0.6006647673314338","0.725287356321839"
"data_lipinski","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.01","0.5","0.5","0.5","0.5"
"data_lipinski","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.01","0.6647831037734125","0.6508021390374331","0.6263057929724597","0.7172413793103448"
"data_lipinski","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.01","0.47578918756516236","0.5173796791443851","0.5358499525166192","0.37413793103448273"
"data_lipinski","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.01","0.7418281303000708","0.7315508021390376","0.7037037037037036","0.7902298850574714"
"data_lipinski","SVC_LIN_DESC","L1","Standard","cdk_desc","0.01","0.6635467890651574","0.6510695187165776","0.6875593542260209","0.6520114942528736"
"data_lipinski","SVC_LIN_DESC","L2","Standard","cdk_desc","0.01","0.6857588471178734","0.662566844919786","0.7136752136752135","0.6810344827586207"
"data_lipinski","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.1","0.6646611600071145","0.6647058823529413","0.6149097815764483","0.714367816091954"
"data_lipinski","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.1","0.6806297663971769","0.6647058823529413","0.6467236467236467","0.7304597701149427"
"data_lipinski","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.1","0.6695181007441544","0.6727272727272727","0.6329534662867996","0.7028735632183908"
"data_lipinski","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.1","0.636024353029086","0.6299465240641712","0.6039886039886039","0.6741379310344828"
"data_lipinski","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.1","0.7477274230373171","0.7304812834224599","0.7155745489078822","0.7971264367816094"
"data_lipinski","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.1","0.7057242501236192","0.6572192513368985","0.7231718898385565","0.7367816091954025"
"data_lipinski","SVC_LIN_DESC","L1","Standard","cdk_desc","0.1","0.706120689217376","0.6754010695187166","0.7165242165242164","0.7264367816091953"
"data_lipinski","SVC_LIN_DESC","L2","Standard","cdk_desc","0.1","0.640785150791912","0.6155080213903743","0.6723646723646722","0.6344827586206897"
"data_lipinski","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0","0.6697644778780681","0.6641711229946523","0.6324786324786325","0.7126436781609196"
"data_lipinski","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0","0.6634276982710609","0.651336898395722","0.604463437796771","0.7344827586206897"
"data_lipinski","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0","0.6132196866814852","0.6128342245989304","0.5883190883190882","0.6385057471264368"
"data_lipinski","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0","0.5904913486500144","0.5705882352941176","0.5750237416904083","0.6258620689655172"
"data_lipinski","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0","0.6983374891871623","0.6427807486631016","0.718898385565052","0.7333333333333335"
"data_lipinski","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0","0.659029994121272","0.6320855614973262","0.6794871794871795","0.6655172413793103"
"data_lipinski","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0","0.6103263029677273","0.5705882352941176","0.6391263057929724","0.6212643678160918"
"data_lipinski","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0","0.6067479374105473","0.5470588235294117","0.6438746438746439","0.6293103448275862"
"data_chagas","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_chagas","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0E-4","0.6115852342158622","0.6076036379018619","0.6153432641226718","0.611808800623053"
"data_chagas","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_chagas","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0E-4","0.7114341993628267","0.7024812595915481","0.7208984413006696","0.7109228971962622"
"data_chagas","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_chagas","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0E-4","0.6608405708116761","0.6647913961358366","0.6679639611590044","0.6497663551401874"
"data_chagas","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_chagas","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0E-4","0.7265331441685561","0.7315805394876629","0.7370570550117739","0.7109618380062316"
"data_chagas","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.001","0.5","0.5","0.5","0.5"
"data_chagas","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.001","0.6776139488576091","0.6653644296226326","0.6934436357975458","0.6740337811526491"
"data_chagas","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.001","0.5695765487780352","0.5","0.6019953200101186","0.6067343263239874"
"data_chagas","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.001","0.7340732482678578","0.7294433459253146","0.7397984004358916","0.7329779984423671"
"data_chagas","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.001","0.5","0.5","0.5","0.5"
"data_chagas","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.001","0.7005255996335156","0.7064014972651792","0.7128106209500088","0.6823646806853587"
"data_chagas","SVC_LIN_DESC","L1","Standard","cdk_desc","0.001","0.6439692725714675","0.6517936194073899","0.6537853431668256","0.6263288551401869"
"data_chagas","SVC_LIN_DESC","L2","Standard","cdk_desc","0.001","0.746013522932849","0.7529795281942305","0.7505156745607031","0.7345453660436128"
"data_chagas","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.01","0.6529526604153931","0.6490858517294287","0.663049242055692","0.6467228874610589"
"data_chagas","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.01","0.7174775250244904","0.7075401861252129","0.72678977991399","0.7181026090342683"
"data_chagas","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.01","0.7279154033301914","0.721391364655886","0.735522193465529","0.7268326518691592"
"data_chagas","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.01","0.7407159787543822","0.7386364754259646","0.744874875946217","0.7386365848909652"
"data_chagas","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.01","0.6843254275150822","0.7087034686971226","0.683992440016347","0.6602803738317768"
"data_chagas","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.01","0.726741248549942","0.7351318714831006","0.7355635447274727","0.7095283294392528"
"data_chagas","SVC_LIN_DESC","L1","Standard","cdk_desc","0.01","0.7329722010675829","0.7400383170031088","0.7417662340189543","0.7171120521806855"
"data_chagas","SVC_LIN_DESC","L2","Standard","cdk_desc","0.01","0.7497501501994804","0.7493765494038486","0.7578080912257474","0.7420658099688453"
"data_chagas","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.1","0.7310516572380853","0.7220553948766392","0.7375252972426011","0.7335742795950156"
"data_chagas","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.1","0.7352061321704558","0.7303680694919933","0.7420070443090937","0.7332432827102805"
"data_chagas","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.1","0.7405426074377998","0.7379822826899632","0.7444856875985151","0.7391598520249213"
"data_chagas","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.1","0.7424187149601797","0.7429993999134317","0.7439164996400035","0.740340245327104"
"data_chagas","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.1","0.7340074987313457","0.7398932141030187","0.7427610967327645","0.7193681853582545"
"data_chagas","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.1","0.7464472259469891","0.7509185751387076","0.7530843176555305","0.7353387850467291"
"data_chagas","SVC_LIN_DESC","L1","Standard","cdk_desc","0.1","0.7504648018401605","0.7493937650021657","0.7585207923874752","0.7434798481308406"
"data_chagas","SVC_LIN_DESC","L2","Standard","cdk_desc","0.1","0.7493424743003999","0.744711122260261","0.7560275545350171","0.7472887461059218"
"data_chagas","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0","0.7397750361575669","0.7363394227363941","0.7450062270135653","0.7379794587227411"
"data_chagas","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0","0.7400363606754038","0.7373231712115847","0.7453662262351878","0.7374196845794388"
"data_chagas","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0","0.7418289745794331","0.7425198225317766","0.7434373114868964","0.7395297897196265"
"data_chagas","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0","0.7425423603246656","0.7435527584307264","0.7437170406118067","0.7403572819314639"
"data_chagas","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0","0.7504599522725313","0.7496741333175942","0.7592772772383182","0.7424284462616813"
"data_chagas","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0","0.7510053383809434","0.7495191929327504","0.7595934927708266","0.7439033294392531"
"data_chagas","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0","0.7492000608962007","0.744600450556801","0.7563364727860054","0.7466632593457957"
"data_chagas","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0","0.7484410700796462","0.7429846436863027","0.7548697192006085","0.7474688473520276"
"data_herg","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0E-4","0.8174195057080685","0.7829936518543269","0.8409724545555927","0.828292410714286"
"data_herg","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0E-4","0.8455364808577551","0.8103909121283007","0.8688524590163934","0.8573660714285711"
"data_herg","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0E-4","0.8160309258078134","0.7763113932509188","0.8341139734582358","0.8376674107142855"
"data_herg","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0E-4","0.8476288622872845","0.7967479674796749","0.8711386193821791","0.8749999999999998"
"data_herg","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.001","0.8444009619015284","0.8082191780821923","0.8779971004795359","0.8469866071428567"
"data_herg","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.001","0.8608295332350089","0.8265397037532023","0.885413181666109","0.8705357142857151"
"data_herg","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.001","0.841136946567357","0.8004232097115495","0.8615478978476636","0.8614397321428581"
"data_herg","SVC_LIN_DESC","L1","Standard","cdk_desc","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_DESC","L2","Standard","cdk_desc","0.001","0.8627692974409183","0.8182425659873036","0.8878108620497379","0.8822544642857135"
"data_herg","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.01","0.7874285086911869","0.746658870698296","0.8193096910895505","0.7963169642857143"
"data_herg","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.01","0.8535987056967974","0.818799420870922","0.887085981933757","0.8549107142857133"
"data_herg","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.01","0.8414677166100061","0.8025392582692957","0.8713616594178655","0.8505022321428569"
"data_herg","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.01","0.8511060539634983","0.8221962356609871","0.8782201405152223","0.8529017857142852"
"data_herg","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.01","0.7876865831344481","0.7848034302260833","0.7961971673915468","0.7820591517857142"
"data_herg","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.01","0.8573752918584147","0.8198574451497944","0.8821233411397346","0.8701450892857151"
"data_herg","SVC_LIN_DESC","L1","Standard","cdk_desc","0.01","0.8623562581702093","0.8244793406838183","0.8855247016839521","0.8770647321428575"
"data_herg","SVC_LIN_DESC","L2","Standard","cdk_desc","0.01","0.8514654093360638","0.8155696625459413","0.8734247797479646","0.8654017857142856"
"data_herg","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.1","0.8541053672087996","0.8149571221739622","0.880506300881008","0.8668526785714284"
"data_herg","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.1","0.8565892096658604","0.8254816794743296","0.8854131816661089","0.8588727678571426"
"data_herg","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.1","0.8526840938387018","0.8249248245907123","0.8825694212111073","0.850558035714286"
"data_herg","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.1","0.8343242756111761","0.801536919478784","0.876324300211888","0.8251116071428561"
"data_herg","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.1","0.8637406695620911","0.8388461966811446","0.8875320620051298","0.864843749999999"
"data_herg","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.1","0.8601249686511023","0.8230872034747749","0.8860265417642466","0.8712611607142857"
"data_herg","SVC_LIN_DESC","L1","Standard","cdk_desc","0.1","0.8562432472146732","0.8173515981735169","0.8788335006133601","0.8725446428571424"
"data_herg","SVC_LIN_DESC","L2","Standard","cdk_desc","0.1","0.8297971698848414","0.7963024835727807","0.8460466153674584","0.8470424107142854"
"data_herg","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0","0.8458091957164579","0.8159594609644738","0.8779413404706145","0.8435267857142854"
"data_herg","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0","0.8420379813034172","0.809499944314512","0.8769376603100255","0.8396763392857145"
"data_herg","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0","0.830924386387114","0.797750306270186","0.8707482993197279","0.8242745535714281"
"data_herg","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0","0.8288931291223302","0.8045439358503185","0.8666220586595293","0.815513392857143"
"data_herg","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0","0.8515963223350353","0.8149014366856012","0.8725326196052191","0.8673549107142856"
"data_herg","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0","0.8444053235326491","0.8073282102684052","0.8636667781866845","0.8622209821428574"
"data_herg","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0","0.8287553812295708","0.7989197015257823","0.8394111743057879","0.8479352678571425"
"data_herg","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0","0.8133858639025832","0.786835950551287","0.8197278911564625","0.8335937499999999"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0E-4","0.25902438068189765","0.24664687774846086","0.24562937062937062","0.28479689366786143"
"data_solubility","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0E-4","0.9701509119839883","0.970811345646438","0.9617441382147265","0.9778972520908005"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0E-4","0.23030883494206197","0.24351363236587512","0.2181715343480049","0.22924133811230582"
"data_solubility","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0E-4","0.9661636042037215","0.9632805628847845","0.9632867132867133","0.9719235364396666"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.001","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.001","0.6463266104768413","0.6053759894459102","0.6491155902920608","0.6844882516925529"
"data_solubility","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.001","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.001","0.9643719601141928","0.9669085312225155","0.9572706705059646","0.968936678614098"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.001","0.4548939490184316","0.45129727352682497","0.46338955162484574","0.4499950219036241"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.001","0.8305720608810514","0.7841908531222517","0.8465137803373096","0.8610115491835927"
"data_solubility","SVC_LIN_DESC","L1","Standard","cdk_desc","0.001","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","Standard","cdk_desc","0.001","0.9635602576066292","0.9640501319261213","0.9689942410530646","0.9576363998407016"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.01","0.5426158578013701","0.4932113016710643","0.479020979020979","0.6556152927120669"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.01","0.9215282686441336","0.916721635883905","0.9263677498971616","0.9214954201513341"
"data_solubility","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.01","0.9496381239651216","0.9495932277924363","0.939942410530646","0.9593787335722823"
"data_solubility","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.01","0.9477999084596811","0.9517370272647319","0.9370629370629371","0.9545997610513742"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.01","0.5059538110964543","0.5272647317502199","0.45485396955985186","0.5357427319792911"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.01","0.9578136513946172","0.9502528583992964","0.9593788564376802","0.9638092393468748"
"data_solubility","SVC_LIN_DESC","L1","Standard","cdk_desc","0.01","0.9521432381276317","0.9577286719437113","0.9548539695598519","0.9438470728793319"
"data_solubility","SVC_LIN_DESC","L2","Standard","cdk_desc","0.01","0.9547877272982649","0.9565743183817061","0.9682229535170711","0.9395659099960175"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.1","0.9406844694654616","0.9134784520668425","0.9491464417935007","0.9594285145360414"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.1","0.975493061875118","0.9804309586631486","0.9737762237762237","0.9722720031859816"
"data_solubility","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.1","0.9435350192712314","0.9494832893579594","0.9265220074043603","0.9545997610513742"
"data_solubility","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.1","0.9426156500423216","0.9527814423922601","0.9254936240230358","0.9495718837116687"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.1","0.951103320473409","0.9500329815303429","0.9562937062937065","0.9469832735961777"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.1","0.9755610613622382","0.9774076517150395","0.9781982723159195","0.9710772600557552"
"data_solubility","SVC_LIN_DESC","L1","Standard","cdk_desc","0.1","0.9530097884728748","0.9524516270888304","0.967708761826409","0.938868976503385"
"data_solubility","SVC_LIN_DESC","L2","Standard","cdk_desc","0.1","0.9474449925226714","0.957673702726473","0.9626182640888524","0.9220430107526887"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0","0.9786435540286896","0.9808432277924362","0.9762443438914027","0.9788430904022302"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0","0.9775727014129864","0.9808707124010553","0.9745475113122172","0.977299880525687"
"data_solubility","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0","0.9421729896336414","0.9523966578715919","0.9271390374331552","0.9469832735961772"
"data_solubility","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0","0.9402858444602785","0.9552550571679859","0.9206602221308103","0.9449422540820394"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0","0.9731817643569767","0.9763082673702725","0.9824146441793503","0.9608223815213074"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0","0.9723043401628623","0.9721855760773968","0.9776326614561911","0.9670947829549987"
"data_solubility","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0","0.9388083649061638","0.957014072119613","0.9497634718222954","0.9096475507765833"
"data_solubility","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0","0.9351736722183213","0.9545954265611257","0.9443644590703416","0.9065611310234966"
"data_tuberculosis","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_tuberculosis","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0E-4","0.5835062660249395","0.6018182864376584","0.5700061902322409","0.5786943214049192"
"data_tuberculosis","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
