"NAME [String]","METHOD [String]","numTrees [Int]","maxDepth [Int]","f1 [Double]","f1_1 [Double]","f1_2 [Double]","f1_3 [Double]"
"BothRegression","WEKA_RF","20","2","0.8119904495690659","0.7924528301886792","0.8518518518518519","0.7916666666666667"
"BothRegression","WEKA_RF","30","2","0.8255679630342704","0.7924528301886792","0.8679245283018868","0.8163265306122449"
"BothRegression","WEKA_RF","40","2","0.8306477888688132","0.8076923076923077","0.8679245283018868","0.8163265306122449"
"BothRegression","WEKA_RF","50","2","0.8124697172316221","0.7692307692307693","0.8518518518518519","0.8163265306122449"
"BothRegression","WEKA_RF","60","2","0.8178272760483004","0.7692307692307693","0.8679245283018868","0.8163265306122449"
"BothRegression","WEKA_RF","70","2","0.8255679630342704","0.7924528301886792","0.8679245283018868","0.8163265306122449"
"BothRegression","WEKA_RF","80","2","0.8255679630342704","0.7924528301886792","0.8679245283018868","0.8163265306122449"
"BothRegression","WEKA_RF","90","2","0.8385389453313982","0.8076923076923077","0.8679245283018868","0.84"
"BothRegression","WEKA_RF","100","2","0.8385389453313982","0.8076923076923077","0.8679245283018868","0.84"
"BothRegression","WEKA_RF","20","5","0.8383277839437663","0.8235294117647058","0.8679245283018868","0.823529411764706"
"BothRegression","WEKA_RF","30","5","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","40","5","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","50","5","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","60","5","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","5","0.8538070498854813","0.8148148148148148","0.9230769230769231","0.823529411764706"
"BothRegression","WEKA_RF","80","5","0.8589316713623041","0.830188679245283","0.9230769230769231","0.823529411764706"
"BothRegression","WEKA_RF","90","5","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","100","5","0.8579060303366629","0.830188679245283","0.9199999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","10","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","10","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","10","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","10","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","10","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","10","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","10","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","10","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","10","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","20","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","20","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","20","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","20","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","20","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","20","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","20","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","20","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","20","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","30","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","30","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","30","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","30","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","30","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","30","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","30","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","30","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","30","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","40","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","40","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","40","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","40","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","40","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","40","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","40","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","40","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","40","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","50","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","50","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","50","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","50","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","50","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","50","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","50","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","50","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","50","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","60","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","60","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","60","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","60","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","60","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","60","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","60","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","60","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","60","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","70","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","70","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","70","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","70","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","70","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","70","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","70","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","70","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","70","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","80","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","80","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","80","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","80","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","80","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","80","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","80","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","80","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","80","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","90","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","90","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","90","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","90","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","90","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","90","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","90","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","90","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","90","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","20","100","0.8366013071895425","0.8235294117647058","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","30","100","0.8313222724987431","0.8076923076923077","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","40","100","0.8388210630164016","0.830188679245283","0.8627450980392156","0.823529411764706"
"BothRegression","WEKA_RF","50","100","0.8518929584412382","0.830188679245283","0.9019607843137256","0.823529411764706"
"BothRegression","WEKA_RF","60","100","0.8461111585417912","0.830188679245283","0.8846153846153846","0.823529411764706"
"BothRegression","WEKA_RF","70","100","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","80","100","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","90","100","0.8445726970033296","0.830188679245283","0.8799999999999999","0.823529411764706"
"BothRegression","WEKA_RF","100","100","0.8370739064856711","0.8076923076923077","0.8799999999999999","0.823529411764706"
